Player Name,Presenze Totali,Gol,Assist,Sostituito In,Sostituito Out,Cartellino Giallo,Cartellino Rosso,Gol su Rigore,Gol per Minuti,Minuti Giocati,Presenze in Nazionale,Gol in Nazionale,Assist in Nazionale,Sostituito In (Nazionale),Sostituito Out (Nazionale),Cartellino Giallo in Nazionale,Cartellino Rosso in Nazionale,Gol su Rigore in Nazionale,Gol per Minuti in Nazionale,Minuti Giocati in Nazionale
Massimo Coda,578,206,64,133,174,45,1,33,194',39.935',0,0,0,0,0,0,0,0,0',0'
Matteo Luigi Brunori,316,119,27,61,123,39,1,24,190',22.633',0,0,0,0,0,0,0,0,0',0'
Pietro Iemmello,432,190,38,102,147,51,2,24,156',29.568',10,5,0,5,4,1,0,0,102',511'
Daniele Casiraghi,456,88,64,89,237,62,0,33,354',31.165',3,0,0,2,1,0,0,0,0,96'
Giuseppe Sibilli,245,44,22,87,95,37,0,5,327',14.402',0,0,0,0,0,0,0,0,0',0'
Tommaso Biasci,389,144,35,111,164,43,0,15,174',25.034',0,0,0,0,0,0,0,0,0',0'
Gabriele Moncini,296,98,16,95,107,17,0,12,182',17.821',2,0,0,2,7,0,0,0,0,37'
Mattia Valoti,317,67,25,93,155,66,1,11,280',18.728',2,0,1,1,1,0,0,0,0,93'
Manuel De Luca,240,69,16,65,93,18,2,9,226',15.591',1,0,0,1,3,0,0,0,0,89'
Fabio Borini,392,113,42,112,133,56,1,23,224',25.284',1,0,0,1,6,0,0,0,0,30'
Nicolò Buso,226,83,22,54,106,27,1,3,178',14.778',0,0,0,0,0,0,0,0,0',0'
Antonio Raimondo,124,53,8,29,43,19,0,4,166',8.801',2,2,0,1,1,0,0,0,63',126'
Andrea La Mantia,412,107,21,152,127,56,2,9,229',24.454',0,0,0,0,0,0,0,0,0',0'
Simone Verdi,424,76,50,132,187,40,2,15,326',24.800',4,0,0,2,2,0,0,0,0,138'
Daniele Verde,319,73,30,135,124,14,0,14,235',17.177',12,1,1,5,7,0,0,0,449',449'
